Reference, FixingDate, EffectiveDate, MaturityDate, Value
USD-SOFRCMP-OFFSET2-3M,2017-03-28,2017-03-24,2017-06-26,0.00850070059990701
USD-SOFRCMP-OFFSET2-3M,2017-03-29,2017-03-27,2017-06-27,0.00854824673183063
USD-SOFRCMP-OFFSET2-3M,2017-03-30,2017-03-28,2017-06-28,0.0085776580488681
USD-SOFRCMP-OFFSET2-3M,2017-03-31,2017-03-29,2017-06-29,0.008608158902689844
USD-SOFRCMP-OFFSET2-3M,2017-04-03,2017-03-30,2017-06-30,0.00864192796777234
USD-SOFRCMP-OFFSET2-3M,2017-04-04,2017-03-31,2017-06-30,0.008650992485292861
USD-SOFRCMP-OFFSET2-3M,2017-04-05,2017-04-03,2017-07-03,0.008766621230918212
USD-SOFRCMP-OFFSET2-3M,2017-04-06,2017-04-04,2017-07-05,0.008826018380134169
USD-SOFRCMP-OFFSET2-3M,2017-04-07,2017-04-05,2017-07-05,0.008838203169138607
USD-SOFRCMP-OFFSET2-3M,2017-04-10,2017-04-06,2017-07-06,0.008867939141053738
USD-SOFRCMP-OFFSET2-3M,2017-04-11,2017-04-07,2017-07-07,0.008892168613028011
USD-SOFRCMP-OFFSET2-3M,2017-04-12,2017-04-10,2017-07-10,0.008954942478788875
USD-SOFRCMP-OFFSET2-3M,2017-04-13,2017-04-11,2017-07-11,0.008978071125060907
USD-SOFRCMP-OFFSET2-3M,2017-04-18,2017-04-13,2017-07-13,0.009025430206029863
USD-SOFRCMP-OFFSET2-3M,2017-04-19,2017-04-17,2017-07-17,0.009095923141671593
USD-SOFRCMP-OFFSET2-3M,2017-04-20,2017-04-18,2017-07-18,0.009113545554809126
USD-SOFRCMP-OFFSET2-3M,2017-04-21,2017-04-19,2017-07-19,0.009131168056059033
USD-SOFRCMP-OFFSET2-3M,2017-04-24,2017-04-20,2017-07-20,0.009154297730289442
USD-SOFRCMP-OFFSET2-3M,2017-04-25,2017-04-21,2017-07-21,0.00918293466867841
USD-SOFRCMP-OFFSET2-3M,2017-04-26,2017-04-24,2017-07-24,0.009265538330665428
USD-SOFRCMP-OFFSET2-3M,2017-04-27,2017-04-25,2017-07-25,0.009293074590238612
USD-SOFRCMP-OFFSET2-3M,2017-04-28,2017-04-26,2017-07-26,0.009319509582999548
USD-SOFRCMP-OFFSET2-3M,2017-05-02,2017-04-28,2017-07-28,0.00936907565978098
USD-SOFRCMP-OFFSET2-3M,2017-05-03,2017-05-01,2017-08-01,0.00942739698979323
USD-SOFRCMP-OFFSET2-3M,2017-05-04,2017-05-02,2017-08-02,0.009449187992251354
USD-SOFRCMP-OFFSET2-3M,2017-05-05,2017-05-03,2017-08-03,0.009473158254756678
USD-SOFRCMP-OFFSET2-3M,2017-05-08,2017-05-04,2017-08-04,0.00949821823474608
USD-SOFRCMP-OFFSET2-3M,2017-05-09,2017-05-05,2017-08-07,0.00953499954129085
USD-SOFRCMP-OFFSET2-3M,2017-05-10,2017-05-08,2017-08-08,0.009590829120024905
USD-SOFRCMP-OFFSET2-3M,2017-05-11,2017-05-09,2017-08-09,0.009615889851778173
USD-SOFRCMP-OFFSET2-3M,2017-05-12,2017-05-10,2017-08-10,0.00964204035490719
USD-SOFRCMP-OFFSET2-3M,2017-05-15,2017-05-11,2017-08-11,0.009671459875214899
USD-SOFRCMP-OFFSET2-3M,2017-05-16,2017-05-12,2017-08-14,0.009719495980695138
USD-SOFRCMP-OFFSET2-3M,2017-05-17,2017-05-15,2017-08-15,0.009800031843969976
USD-SOFRCMP-OFFSET2-3M,2017-05-18,2017-05-16,2017-08-16,0.009833811134656312
USD-SOFRCMP-OFFSET2-3M,2017-05-19,2017-05-17,2017-08-17,0.009867590734979314
USD-SOFRCMP-OFFSET2-3M,2017-05-22,2017-05-18,2017-08-18,0.009900280943189274
USD-SOFRCMP-OFFSET2-3M,2017-05-23,2017-05-19,2017-08-21,0.009945596246719797
USD-SOFRCMP-OFFSET2-3M,2017-05-24,2017-05-22,2017-08-22,0.010023411776853166
USD-SOFRCMP-OFFSET2-3M,2017-05-25,2017-05-23,2017-08-23,0.010051744439588239
USD-SOFRCMP-OFFSET2-3M,2017-05-26,2017-05-24,2017-08-24,0.010080077306944848
USD-SOFRCMP-OFFSET2-3M,2017-05-30,2017-05-25,2017-08-25,0.010111679553204713
USD-SOFRCMP-OFFSET2-3M,2017-05-31,2017-05-26,2017-08-28,0.010145044640933677
USD-SOFRCMP-OFFSET2-3M,2017-06-01,2017-05-30,2017-08-30,0.010221747616259932
USD-SOFRCMP-OFFSET2-3M,2017-06-02,2017-05-31,2017-08-31,0.010244632808798336
USD-SOFRCMP-OFFSET2-3M,2017-06-05,2017-06-01,2017-09-01,0.010270787409010895
USD-SOFRCMP-OFFSET2-3M,2017-06-06,2017-06-02,2017-09-05,0.010314770526639
USD-SOFRCMP-OFFSET2-3M,2017-06-07,2017-06-05,2017-09-05,0.010373213057160846
USD-SOFRCMP-OFFSET2-3M,2017-06-08,2017-06-06,2017-09-06,0.010395009301927296
USD-SOFRCMP-OFFSET2-3M,2017-06-09,2017-06-07,2017-09-07,0.010415715855239285
USD-SOFRCMP-OFFSET2-3M,2017-06-12,2017-06-08,2017-09-08,0.010436422512070206
USD-SOFRCMP-OFFSET2-3M,2017-06-13,2017-06-09,2017-09-11,0.010453298562012473
USD-SOFRCMP-OFFSET2-3M,2017-06-14,2017-06-12,2017-09-12,0.01050289985386501
USD-SOFRCMP-OFFSET2-3M,2017-06-15,2017-06-13,2017-09-13,0.010520337406669317
USD-SOFRCMP-OFFSET2-3M,2017-06-16,2017-06-14,2017-09-14,0.010536685180543051
USD-SOFRCMP-OFFSET2-3M,2017-06-19,2017-06-15,2017-09-15,0.010554122864130572
USD-SOFRCMP-OFFSET2-3M,2017-06-20,2017-06-16,2017-09-18,0.010556766585258727
USD-SOFRCMP-OFFSET2-3M,2017-06-21,2017-06-19,2017-09-19,0.01051706943899198
USD-SOFRCMP-OFFSET2-3M,2017-06-22,2017-06-20,2017-09-20,0.010505081154731899
USD-SOFRCMP-OFFSET2-3M,2017-06-23,2017-06-21,2017-09-21,0.010500721783481826
USD-SOFRCMP-OFFSET2-3M,2017-06-26,2017-06-22,2017-09-22,0.010499631940969938
USD-SOFRCMP-OFFSET2-3M,2017-06-27,2017-06-23,2017-09-25,0.01049383294804399
USD-SOFRCMP-OFFSET2-3M,2017-06-28,2017-06-26,2017-09-26,0.010485464780526898
USD-SOFRCMP-OFFSET2-3M,2017-06-29,2017-06-27,2017-09-27,0.010481105431074172
USD-SOFRCMP-OFFSET2-3M,2017-06-30,2017-06-28,2017-09-28,0.010478925757554236
USD-SOFRCMP-OFFSET2-3M,2017-07-03,2017-06-29,2017-09-29,0.010475656250003454
USD-SOFRCMP-OFFSET2-3M,2017-07-04,2017-06-30,2017-09-29,0.010472879656813695
USD-SOFRCMP-OFFSET2-3M,2017-07-05,2017-06-30,2017-09-29,0.010472879656813695
USD-SOFRCMP-OFFSET2-3M,2017-07-06,2017-07-03,2017-10-03,0.010438604226677441
USD-SOFRCMP-OFFSET2-3M,2017-07-07,2017-07-05,2017-10-05,0.010421170743595084
USD-SOFRCMP-OFFSET2-3M,2017-07-10,2017-07-06,2017-10-06,0.010418991104585803
USD-SOFRCMP-OFFSET2-3M,2017-07-11,2017-07-07,2017-10-10,0.010416090215889745
USD-SOFRCMP-OFFSET2-3M,2017-07-12,2017-07-10,2017-10-10,0.010425520024267217
USD-SOFRCMP-OFFSET2-3M,2017-07-13,2017-07-11,2017-10-11,0.010427699668117843
USD-SOFRCMP-OFFSET2-3M,2017-07-14,2017-07-12,2017-10-12,0.010429879313175329
USD-SOFRCMP-OFFSET2-3M,2017-07-17,2017-07-13,2017-10-13,0.010432058959447496
USD-SOFRCMP-OFFSET2-3M,2017-07-18,2017-07-14,2017-10-16,0.010427693941970403
USD-SOFRCMP-OFFSET2-3M,2017-07-19,2017-07-17,2017-10-17,0.010436418253196952
USD-SOFRCMP-OFFSET2-3M,2017-07-20,2017-07-18,2017-10-18,0.010437508077243612
USD-SOFRCMP-OFFSET2-3M,2017-07-21,2017-07-19,2017-10-19,0.010440777552094466
USD-SOFRCMP-OFFSET2-3M,2017-07-24,2017-07-20,2017-10-20,0.010445136856744768
USD-SOFRCMP-OFFSET2-3M,2017-07-25,2017-07-21,2017-10-23,0.01045969381810823
USD-SOFRCMP-OFFSET2-3M,2017-07-26,2017-07-24,2017-10-24,0.010474560948060397
USD-SOFRCMP-OFFSET2-3M,2017-07-27,2017-07-25,2017-10-25,0.010476740616733775
USD-SOFRCMP-OFFSET2-3M,2017-07-28,2017-07-26,2017-10-26,0.010477830451979302
USD-SOFRCMP-OFFSET2-3M,2017-07-31,2017-07-27,2017-10-27,0.010481099958619509
USD-SOFRCMP-OFFSET2-3M,2017-08-01,2017-07-28,2017-10-30,0.010483160653642583
USD-SOFRCMP-OFFSET2-3M,2017-08-02,2017-07-31,2017-10-31,0.010488728443283466
